2963	4514	1
2963	4515	1
22	4437	1
258	2660	1
258	2661	2
4055	4891	1
1813	4878	3
3842	4857	1
3988	4718	1
2161	2616	1
209	2659	3
101	495	1
2659	4216	1
1959	4392	1
1959	4390	3
1959	4397	1
3103	3200	1
1080	4843	1
597	4152	1
357	2276	1
597	4151	1
1066	2477	2
502	3836	2
1092	2055	1
881	2005	1
865	2357	1
3977	4259	1
1667	3276	1
723	2268	3
3822	4249	1
3822	4245	1
495	1029	1
2987	4017	1
2987	4019	1
2055	2399	1
3807	4938	1
573	2268	1
1752	3459	1
1688	4347	1
2659	3633	1
955	3851	1
739	2254	5
4017	4209	1
1397	2477	2
3398	4556	1
1080	3459	1
3469	4971	1
3469	4973	1
3469	4975	1
3560	3984	2
134	4514	1
4151	4303	1
2661	3323	1
2319	2963	1
274	2011	1
637	1743	1
22	2124	1
2835	4205	1
211	4682	1
2161	4151	1
2161	4152	2
2055	4496	1
4055	4562	2
3727	4390	1
1792	4557	1
1150	3103	1
4705	4878	3
4152	4836	2
1667	4556	1
4019	4100	1
1959	4809	1
4019	4109	1
1102	3338	1
1102	4109	1
999	1573	1
183	4814	1
183	4819	2
4095	4827	1
560	4147	1
3836	3988	1
447	1145	1
3836	3984	1
3836	3987	1
2303	2780	1
2384	2987	1
2525	2660	3
4735	4809	1
398	2011	1
416	973	2
416	972	2
23	3369	1
4320	4979	1
4320	4971	1
2384	3743	1
4320	4973	1
275	4095	1
4320	4975	1
416	3977	1
2525	3276	1
495	2525	1
168	2276	1
1573	1787	1
3743	4400	1
2159	2538	2
1573	2022	1
2303	4901	1
897	2215	2
134	2963	1
924	2661	1
1150	2692	1
209	1792	1
2780	4205	1
603	4262	1
4088	4219	1
1967	3338	1
4088	4216	1
2536	4857	1
1029	4836	1
3151	3737	2
217	2836	1
652	1937	1
357	723	2
23	2101	1
2525	3593	1
3211	4347	1
3624	3842	1
509	1294	1
949	3103	1
2022	3807	1
3624	4819	1
420	4935	1
2161	4836	2
2011	3398	2
3984	4603	2
1617	2261	1
195	2261	1
195	2268	1
3200	4857	1
972	1029	1
81	4827	1
4147	4843	1
586	4836	1
652	3398	1
169	4515	1
2011	4017	1
3084	4019	1
2011	4019	1
565	586	1
1015	4303	1
1015	4301	1
1573	4400	1
1619	4496	1
3338	3975	1
1752	3151	1
1752	3157	1
1029	3052	1
973	2572	3
1635	1937	1
4515	4857	1
2712	3235	1
893	2661	3
893	2660	2
4253	4455	2
4080	4937	1
4080	4935	2
4080	4938	1
354	4557	1
1773	4400	1
274	2357	1
2005	2712	2
449	4152	1
447	4878	1
1688	3356	1
1092	4514	1
217	2055	2
2572	4088	1
3988	4151	1
3988	4152	1
1619	1937	1
4151	4935	1
4496	4971	1
