key1	key2	measure	connection type
2712	2836	3	socialclub
2712	4205	3	socialclub
2712	4682	3	socialclub
2712	652	3	socialclub
2712	723	3	socialclub
2712	939	3	socialclub
2712	972	3	socialclub
2712	973	3	socialclub
274	4901	0.016	residence
2746	4390	3	socialclub
275	4205	3	socialclub
2773	851	0.027	residence
2780	4843	0.067	residence
2780	917	0.080	residence
2794	4705	0.079	residence
2817	2892	0.081	residence
2817	2963	0.016	residence
2817	4777	0.023	residence
2817	611	0.028	residence
2817	648	0.024	residence
2836	3151	3	socialclub
2836	3726	3	socialclub
2836	3727	3	socialclub
2836	3836	3	socialclub
2836	4017	3	socialclub
2836	4205	3	socialclub
2836	4236	3	socialclub
2836	4259	3	socialclub
2836	4303	0.091	residence
2836	4557	3	socialclub
2836	4562	3	socialclub
2836	4682	4	socialclub
2836	4698	0.068	residence
2836	4809	3	socialclub
2836	4971	3	socialclub
2836	652	3	socialclub
2836	723	4	socialclub
2836	881	0.056	residence
2836	917	3	socialclub
2836	939	4	socialclub
2836	972	4	socialclub
2836	973	3	socialclub
2849	4505	0.092	residence
2892	2963	0.065	residence
2892	4777	0.058	residence
2963	3151	3	socialclub
2963	4390	3	socialclub
2963	4777	0.007	residence
2963	611	0.044	residence
2963	648	0.041	residence
2979	3129	0.080	residence
2979	3136	0.080	residence
2979	3970	0.098	residence
2987	3469	3	socialclub
2987	3726	3	socialclub
2987	4347	0.016	residence
2987	4717	3	socialclub
2987	4719	3	socialclub
2987	4878	3	social_and_residence
2987	739	4	socialclub
3	917	0.092	residence
3052	3836	3	socialclub
3052	4682	3	socialclub
3052	723	3	socialclub
308	3129	0.074	residence
308	3136	0.074	residence
308	3970	0.078	residence
308	4095	0.088	residence
308	955	0.092	residence
3103	4236	3	socialclub
3129	3136	0.000	residence
3129	3276	0.082	residence
3129	4095	0.094	residence
3136	3276	0.082	residence
3136	4095	0.094	residence
3139	3140	0.000	residence
3151	3398	3	socialclub
3151	3560	0.001	residence
3151	4080	3	socialclub
3151	4205	3	socialclub
3151	4209	4	socialclub
3151	4272	3	socialclub
3151	4390	4	socialclub
3151	4455	3	socialclub
3151	4682	4	socialclub
3151	4718	0.082	residence
3151	4809	3	socialclub
3151	4836	3	socialclub
3151	4878	0.063	residence
3151	4935	3	socialclub
3151	4971	3	socialclub
3151	652	3	socialclub
3151	723	4	socialclub
3151	939	4	socialclub
3151	972	4	socialclub
3151	973	3	socialclub
3157	3593	0.030	residence
3161	949	0.068	residence
3211	3508	0.012	residence
3211	865	0.047	residence
3246	3829	0.000	residence
3246	4049	0.000	residence
3246	4055	0.000	residence
3246	4814	0.000	residence
3246	4935	0.000	residence
